指标,Baseline,最优参数,改进
MSE,0.00000441,0.00000242,+45.03%
RMSE,0.00210025,0.00155720,+25.86%
MAE,0.00166120,0.00126996,+23.55%
R²,-0.7049,0.0628,+108.91%
MAPE (%),39.91,30.31,+24.07%
方向准确率 (%),60.00,51.11,-8.89%
